Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,0,0,,0,0,,,1.0,0.0,player_cut_flash_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_misc_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_flare_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,3,3,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,3,3,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_spotup_jumpshot_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,2,0,0,,1,0,0.0,0,0,,0.0,0.0,1.0,player_transition_bh_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,3,1,0,0.0,1,1,100.0,0,0,,50.0,0.0,1.0,player_transition_rightwing_efficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,12,4,0,0.0,5,2,40.0,0,0,,22.22222,1.0,2.0,playerefficiency.csv,,
Matt Niemczura,Rochester (NY) Yellowjackets,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,playerefficiencyright.csv,,
,Rochester (NY) Yellowjackets,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Tomiwa Adetosoye,Matt Niemczura
,Rochester (NY) Yellowjackets,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnr_spotupsjumpers_efficiency.csv,Matt Wiele,Matt Niemczura
,Rochester (NY) Yellowjackets,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhhigh_spotupjumper_efficiency.csv,Tomiwa Adetosoye,Matt Niemczura
,Rochester (NY) Yellowjackets,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,twoplayer_pnrbhright_spotupjumper_efficiency.csv,Matt Wiele,Matt Niemczura
