Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Home,Offense,SKD,3pMa,No Dribble Jumper,Off Screens,Right,N/A,N/A,N/A,N/A
Home,Defense,SKD,2pmi,Dribble Jumper,Spot Ups,Right,Drive,N/A,N/A,N/A
Home,Defense,SKD,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SKD,3pMa,Dribble Jumper,PNR,High,Away,N/A,N/A,N/A
Home,Defense,SKD,Turnover,N/A,Hand Offs,Top,Stationary,N/A,N/A,N/A
Home,Offense,SKD,3pmi,No Dribble Jumper,Transition,N/A,Trailer,N/A,N/A,N/A
Home,Defense,SKD,3pmi,No Dribble Jumper,Hand Offs,Top,Dribble,N/A,N/A,N/A
Home,Offense,SKD,Turnover,To Basket,PNR,Left,Off,P&R Roll Man,N/A,Roll
Home,Defense,SKD,Turnover,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Home,Offense,SKD,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Home,Defense,SKD,3pmi,No Dribble Jumper,Hand Offs,Left,Dribble,N/A,N/A,N/A
Home,Defense,SKD,3pMa,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Home,Offense,SKD,2pmi,To Basket,PNR,Left,Off,Spot Ups,Right,Drive
Home,Defense,SKD,2pmi,Dribble Jumper,Spot Ups,Left,Drive,N/A,N/A,N/A
Home,Offense,SKD,Turnover,N/A,Transition,N/A,Left Wing,N/A,N/A,N/A
Home,Defense,SKD,2pMa,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Home,Offense,SKD,2pmi,No Dribble Jumper,Off Screens,Right,Straight,N/A,N/A,N/A
Home,Defense,SKD,2pmi,To Basket,Transition,N/A,Leak Outs,N/A,N/A,N/A
Home,Offense,SKD,3pMa,No Dribble Jumper,Hand Offs,Left,Dribble,N/A,N/A,N/A
Home,Defense,SKD,3pMa,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Offense,SKD,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Home,Defense,SKD,3pmi,Dribble Jumper,Transition,N/A,Trailer,N/A,N/A,N/A
Home,Offense,SKD,Turnover,N/A,PNR,Right,N/A,N/A,N/A,N/A
