Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,CU,Clarkson University Golden Knights,2pmi,To Basket,Finn Cork,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,PNR,High,Off,Josiah Turner,P&R Roll Man,Left,Pop
RIT,CU,Clarkson University Golden Knights,2pmi,Drop Step,Finn Cork,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Chase Dickens,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Jack Dalgety,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,2pMa,To Basket,Keegan Ocorr,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,2pMa,To Basket,Josiah Turner,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,Turnover,N/A,Ryan Miles-Ferguson,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Josiah Turner,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,Turnover,To Basket,Finn Cork,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Jackson Otis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,2pmi,To Basket,Braeden Burns,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Steve DeRegis,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,And1,To Basket,Keegan Ocorr,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,2pmi,To Basket,Finn Cork,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Iso,Top,N/A,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,3pmi,No Dribble Jumper,Jack Dalgety,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Josiah Turner,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,2pMa,To Basket,Jack Dalgety,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Chase Dickens,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,2pMa,Dribble Jumper,Braeden Burns,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,2pMa,To Basket,Finn Cork,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Keegan Ocorr,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,Turnover,N/A,Jack Dalgety,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Keegan Ocorr,Off Screens,Right,Straight,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,Turnover,N/A,Braeden Burns,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,2pmi,To Basket,Matt Caggiano,Off Screens,Left,Flare,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,2pmi,To Basket,Aydin Kocak,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,2pmi,No Dribble Jumper,Kenny Wilburn,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,CU,Clarkson University Golden Knights,2pMa,Dribble Jumper,Ryan Miles-Ferguson,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
RIT,CU,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
