Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul,SourceFile,PrimaryPlayer,SecondaryPlayer
Finn Cork,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_cut_basket_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_basket_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,3,0,0,,2,1,50.0,0,0,,50.0,1.0,0.0,player_cut_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_cut_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_cut_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_cut_screen_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_cut_screen_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,4,2,1,50.0,2,1,50.0,2,1,50.0,62.5,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_dribble_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,4,2,1,50.0,2,1,50.0,2,1,50.0,62.5,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1.0,0.0,player_handoffs_bhleft_stationary_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,2,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhright_dribble_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,2,100.0,1,1,100.0,100.0,0.0,0.0,player_handoffs_bhright_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,8,3,1,33.3333,5,2,40.0,3,1,33.3333,43.75,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,4,1,0,0.0,3,2,66.6667,1,1,100.0,50.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_dribble_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_dribble_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,8,3,1,33.3333,5,2,40.0,3,1,33.3333,43.75,0.0,0.0,player_handoffs_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,4,1,0,0.0,3,2,66.6667,1,1,100.0,50.0,0.0,0.0,player_handoffs_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_handoffs_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_handoffs_stationary_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,4,1,0,0.0,3,1,33.3333,1,0,0.0,25.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_top_dribble_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,4,1,0,0.0,3,1,33.3333,1,0,0.0,25.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,2,1,0,0.0,0,0,,0,0,,0.0,1.0,0.0,player_handoffs_top_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,1,0,0.0,0,0,,0,0,,0.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_top_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_handoffs_top_stationary_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,6,3,1,33.3333,2,1,50.0,1,0,0.0,50.0,1.0,0.0,player_iso_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,2,1,50.0,0,0,,0,0,,75.0,0.0,0.0,player_iso_left_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,1,0,0.0,1,0,0.0,1,0,0.0,0.0,0.0,0.0,player_iso_right_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,0,0,,1,1,100.0,0,0,,100.0,1.0,0.0,player_iso_top_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,3,0,0,,0,0,,0,0,,,3.0,0.0,player_misc_efficiency.csv,,
Frankie Rainville,Clarkson University Golden Knights,2,0,0,,0,0,,0,0,,,2.0,0.0,player_misc_efficiency.csv,,
Braeden Burns,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,1.0,0.0,player_misc_efficiency.csv,,
Finn Cork,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_misc_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,1,0,0.0,1,1,100.0,1,1,100.0,50.0,0.0,0.0,player_offscreens_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,1,0,0.0,1,1,100.0,1,1,100.0,50.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,1,0,0.0,1,1,100.0,1,1,100.0,50.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_leftshoulder_straight_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,2,1,0,0.0,1,1,100.0,1,1,100.0,50.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,1,1,100.0,0,0,,100.0,0.0,0.0,player_offscreens_straight_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,3,1,0,0.0,1,0,0.0,0,0,,0.0,1.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_efficiency.csv,,
Ryan Miles-Ferguson,Clarkson University Golden Knights,3,1,0,0.0,1,0,0.0,0,0,,0.0,1.0,0.0,player_pnr_bhhigh_offpick_efficiency.csv,,
Steve DeRegis,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0.0,0.0,player_pnr_bhhigh_rejectpick_efficiency.csv,,
Jack Dalgety,Clarkson University Golden Knights,1,0,0,,0,0,,0,0,,,0.0,1.0,player_pnr_bhleft_efficiency.csv,,
